Number,Name,Latitude,Longitude,Public,Total docks
A32019,175 N Harvard St,42.36447457,-71.12840831,Yes,17
C32094,2 Hummingbird Lane at Olmsted Green,42.28887,-71.095003,Yes,17
C32106,555 Metropolitan Ave,42.2681,-71.11924,Yes,18
C32105,606 American Legion Hwy at Canterbury St,42.28578,-71.109725,Yes,18
C32091,645 Summer St,42.34178089,-71.03987017,Yes,19
B32060,700 Commonwealth Ave.,42.34960945,-71.10391524,Yes,16
C32061,Albany St at E. Brookline St,42.33664795,-71.0689446,Yes,15
C32079,American Legion Hwy at Cummins Hwy,42.27881158,-71.11687703,Yes,14
B32004,Aquarium T Stop - 200 Atlantic Ave,42.36044136,-71.0504394,Yes,23
C32048,Archdale Rd at Washington St,42.29266593,-71.12119539,Yes,15
C32062,Ashmont T Stop,42.2856944,-71.0641389,Yes,15
A32003,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,Yes,11
C32003,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412,-71.07657015,Yes,19
B32055,Bartlett St at John Elliot Sq,42.3294633,-71.0901582,Yes,15
C32108,Beach St at Freeport St,42.30367409,-71.05425954,Yes,19
D32024,Beacon St at Charles St,42.356052,-71.069849,Yes,19
C32059,Belgrade Ave at Walworth St,42.28634589,-71.1367213,Yes,14
A32028,Bennington St at Byron St,42.38353252,-71.01619095,Yes,15
A32039,Bennington St at Constitution Beach,42.38522394,-71.01063069,Yes,15
C32044,Blue Hill Ave at Almont St,42.27462067,-71.09372552,Yes,19
C32092,Blue Hill Ave at Havelock St,42.286012,-71.090986,Yes,18
B32008,Boston City Hall - 28 State St,42.35892,-71.057629,Yes,25
D32018,Boston Convention and Exhibition Center - Summer St at West Side Dr,42.34776345,-71.04535997,Yes,23
A32036,Boston East - 126 Border St,42.37331213,-71.04102008,Yes,15
A32045,Boston Landing,42.35656092,-71.14167538,Yes,17
B32031,Bowdoin St at Quincy St,42.30785224,-71.06512249,Yes,15
D32007,Boylston St at Arlington St,42.35206005,-71.07046366,Yes,31
D32013,Boylston St at Berkeley St,42.35114198,-71.07329249,Yes,15
D32046,Boylston St at Exeter St,42.34958942,-71.07946779,Yes,19
C32008,Boylston St at Fairfield St,42.34880382,-71.08236909,Yes,19
B32034,Boylston St at Jersey St,42.34465063,-71.09732501,Yes,15
B32018,Boylston St at Massachusetts Ave,42.34740621,-71.08678415,Yes,15
A32032,Bremen St at Marion St,42.37410622,-71.03276253,Yes,11
B32013,Brigham Circle - Francis St at Huntington Ave,42.33462893,-71.10407918,Yes,15
D32028,Brighton Center - Washington St at Cambridge St,42.34894857,-71.15027189,Yes,16
A32005,Brighton Mills - 370 Western Ave,42.36154571,-71.13776207,Yes,15
C32053,Broadway T Stop,42.34304858,-71.0580343,Yes,19
A32023,Bunker Hill Community College,42.37408991,-71.06905997,Yes,23
B32020,Burlington Ave at Brookline Ave,42.345733,-71.100694,Yes,15
D32000,Cambridge St at Joy St,42.36125722,-71.06528744,Yes,15
C23109,Cedar Grove T Stop,42.2796076,-71.0602212,Yes,18
A32041,Central Square East Boston,42.37544913,-71.03918549,Yes,15
C32086,Centre St at Parkway YMCA,42.28277901,-71.15728851,Yes,17
C32085,Centre St at W. Roxbury Post Office,42.28633199,-71.15344755,Yes,19
D32016,Charles Circle - Charles St at Cambridge St,42.36079297,-71.07118962,Yes,19
D32039,Charlestown Navy Yard,42.37412455,-71.054812,Yes,23
D32015,Chinatown Gate Plaza,42.351356,-71.059367,Yes,19
D32019,Chinatown T Stop,42.352409,-71.062679,Yes,19
B32005,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.34366582,-71.08582377,Yes,19
C32099,Circuit Drive at American Legion Hwy,42.29704126,-71.09171927,Yes,19
C32104,Cleary Sq,42.2556,-71.12444,Yes,16
B32035,Cleveland Circle,42.33554308,-71.1506152,Yes,15
D32057,Clinton St at North St,42.36070284,-71.05524927,Yes,18
C32055,Codman Square Library,42.2873611,-71.071111,Yes,17
B32006,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,42.34011512,-71.10061884,Yes,14
B32029,Columbia Rd at Ceylon St,42.309572,-71.0729,Yes,15
C32052,Columbia Rd at Tierney Community Center,42.33023071,-71.05060093,Yes,19
C32077,Columbus Ave at W. Canton St,42.34474225,-71.07648162,Yes,19
A32002,Commonwealth Ave at Agganis Way,42.35169202,-71.11903489,Yes,15
D32033,Commonwealth Ave at Chiswick Rd,42.34024645,-71.15168806,Yes,19
A32017,Commonwealth Ave at Griggs St,42.34922469,-71.13275303,Yes,15
D32034,Commonwealth Ave at Kelton St,42.34835863,-71.13997217,Yes,15
D32009,Congress St at Boston City Hall,42.36041775,-71.05752244,Yes,23
C32032,Congress St at Northern Ave,42.3481,-71.03764,Yes,15
D32005,Copley Square - Dartmouth St at Boylston St,42.34992828,-71.07739207,Yes,28
D32010,Cross St at Hanover St,42.362811,-71.056067,Yes,19
Z32999,Cummins Highway at Blue Hill Ave T Stop,42.26998847,-71.09746183,Yes,14
E32001,Curtis Hall - South St at Centre St,42.309054,-71.11543,Yes,15
D32045,Dartmouth St at Newbury St,42.35096144,-71.07782811,Yes,19
A32051,Day Sq,42.379295,-71.027733,Yes,16
B32037,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,Yes,19
C32009,Dorchester Ave at Gillette Park,42.34404051,-71.05737627,Yes,15
C32066,Dorchester Ave at King St,42.291718,-71.062571,Yes,15
B32017,Dudley Square - Bolling Building,42.32984299,-71.08386572,Yes,0
C32015,Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave,42.325333,-71.075354,Yes,15
A32031,East Boston Neighborhood Health Center - 20 Maverick Square,42.369536,-71.039431,Yes,16
A32022,Edwards Playground - Main St at Eden St,42.378965,-71.068607,Yes,19
E32004,Egleston Square - Atherton St at Washington St,42.315692,-71.098634,Yes,15
A32000,Fan Pier,42.35339051,-71.0445714,Yes,15
C32051,Farragut Rd at E. 6th St,42.3334,-71.02495,Yes,23
C32041,Fields Corner T Stop,42.29963349,-71.06068976,Yes,15
B32064,Flat 9 at Whittier,42.33420351,-71.08767617,Yes,15
E32010,Forest Hills,42.300923,-71.114249,Yes,40
B32062,Forsyth St at Huntington Ave,42.339202,-71.090511,Yes,15
C32037,Four Corners - 157 Washington St,42.30412793,-71.07929528,Yes,11
C32111,Four Corners/Geneva T Stop,42.30321535,-71.07820988,Yes,15
C32027,Franklin Park - Seaver St at Humboldt Ave,42.309796,-71.092225,Yes,15
C32030,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,42.303469,-71.085347,Yes,14
C32040,Gallivan Blvd at Adams St,42.28297568,-71.05466698,Yes,15
C32090,Geiger Gibson Community Health Center,42.31886468,-71.04536798,Yes,19
A32049,Gove St at Orleans St,42.37057753,-71.0355854,Yes,19
B32032,Government Center - Cambridge St at Court St,42.3598254,-71.05979576,Yes,35
E32005,Green Street T Stop - Green St at Amory St,42.310579,-71.107341,Yes,23
B32028,Grove Hall Library - 41 Geneva Ave,42.30791,-71.080952,Yes,15
D32043,Harrison Ave at Bennet St,42.3494261,-71.0620996,Yes,17
C32093,Harrison Ave at E. Dedham St,42.339194,-71.06975,Yes,19
C32057,Harrison Ave at Mullins Way,42.34521562,-71.06384031,Yes,19
D32035,Harvard Ave at Brainerd Rd,42.34953017,-71.13022771,Yes,15
A32052,Harvard Stadium: N. Harvard St at Soldiers Field Rd,42.368019,-71.1242,Yes,15
B32003,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.33741748,-71.10286117,Yes,25
A32040,Honan Library,42.3602737,-71.12852452,Yes,15
D32060,Hood Park,42.38004535,-71.07304573,Yes,23
B32033,Huntington Ave at Mass Art,42.33658555,-71.09886996,Yes,15
C32089,Hyde Park Ave at Walk Hill St,42.29606705,-71.116012,Yes,15
E32013,Hyde Park Library,42.2568376,-71.122509,Yes,15
E32003,Hyde Square - Barbara St at Centre St,42.32176526,-71.10984161,Yes,15
C32020,ID Building East,42.344827,-71.028664,Yes,17
C32021,ID Building West,42.344796,-71.031614,Yes,19
C32025,Ink Block - Harrison Ave at Herald St,42.345901,-71.063187,Yes,25
A32011,Innovation Lab - 125 Western Ave at Batten Way,42.36371276,-71.12459779,Yes,19
E32006,Jackson Square T Stop,42.32293117,-71.10014141,Yes,18
D32052,Jamaica St at South St,42.30604563,-71.11570891,Yes,19
C32013,JFK/UMass T Stop,42.32033974,-71.05118036,Yes,31
B32010,Kenmore Square,42.348706,-71.097009,Yes,26
B32015,Landmark Center - Brookline Ave at Park Dr,42.34369056,-71.10235287,Yes,15
B32058,Lansdowne T Stop,42.34734473,-71.10016808,Yes,27
D32061,Lenox St at Kendall St,42.33759485,-71.08255059,Yes,17
A32057,Lewis Mall Wharf,42.36567871,-71.04030132,Yes,21
D32006,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,Yes,19
A32004,Longwood Ave at Binney St,42.338629,-71.1065,Yes,15
D32020,Main St at Austin St,42.375603,-71.064608,Yes,11
D32036,Main St at Baldwin St,42.380857,-71.070629,Yes,19
D32038,Main St at Thompson Sq,42.37487847,-71.06383499,Yes,15
E32012,Martha Eliot Health Center,42.324173,-71.10196,Yes,16
C32063,Mass Ave T Station,42.34135616,-71.08336953,Yes,14
C32004,Massachusetts Ave at Columbus Ave,42.340835,-71.0816197,Yes,13
C32050,Mattapan Library,42.2773889,-71.09325,Yes,15
C32045,Mattapan T Stop,42.267902,-71.093641,Yes,15
A32030,Maverick Square - Lewis Mall,42.36884408,-71.03977829,Yes,33
A32044,Maverick St at Massport Path,42.36774122,-71.03335975,Yes,15
D32037,Medford St at Charlestown BCYF,42.38042947,-71.06055722,Yes,19
B32023,MLK Blvd at Washington St,42.32143814,-71.09126061,Yes,15
C32103,Morton St at Gallivan Blvd,42.278747,-71.080286,Yes,15
D32017,Mugar Way at Beacon St,42.35553628,-71.0728687,Yes,19
C32023,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,Yes,19
A32025,Nashua Street at Red Auerbach Way,42.365673,-71.064263,Yes,36
B32027,NCAAA - Walnut Ave at Crawford St,42.316902,-71.091946,Yes,15
D32001,New Balance - 20 Guest St,42.35732922,-71.1467354,Yes,14
C32022,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,Yes,15
D32031,Oak Square - 615 Washington St,42.35057,-71.166491,Yes,13
B32061,One Beacon St,42.35847764,-71.0613513,Yes,16
B32036,One Brigham Circle,42.3339227,-71.10446509,Yes,15
A32035,Orient Heights T Stop - Bennington St at Saratoga St,42.386781,-71.006098,Yes,19
A32012,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,Yes,27
A32008,Park Dr at Buswell St,42.347241,-71.105301,Yes,15
D32042,Park Plaza at Charles St S.,42.35182807,-71.06781138,Yes,19
Z32997,Parker St at Huntington Ave,42.33848849,-71.09261138,Yes,19
C32107,Pier 4 Blvd at Autumn Ln,42.3502102,-71.0446705,Yes,19
A32050,Porzio Park,42.36411904,-71.02876782,Yes,17
C32007,Prudential Center - 101 Huntington Ave,42.34652004,-71.08065777,Yes,18
A32026,Purchase St at Pearl St,42.354659,-71.053181,Yes,19
A32056,Riverway at Brookline Ave,42.33661006,-71.1100468,Yes,25
C32047,Roslindale Village - South St,42.287072,-71.127754,Yes,15
C32046,Roslindale Village - Washington St,42.28630716,-71.12820532,Yes,15
E32014,Ross Playground,42.2645666,-71.1145523,Yes,19
D32008,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,Yes,15
C32001,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Yes,23
B32022,Roxbury YMCA - Warren St at MLK Blvd,42.31787329,-71.08243078,Yes,10
B32002,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563,Yes,26
E32007,S Huntington Ave at Heath St,42.32760387,-71.1108917,Yes,15
C32033,Savin Hill T Stop - S Sydney St at Bay St,42.3106,-71.0539,Yes,14
C32036,Seaport Blvd at Sleeper St,42.35317809,-71.04817357,Yes,15
B32014,Seaport Hotel - Congress St at Seaport Ln,42.34881026,-71.04167744,Yes,19
B32007,Seaport Square - Seaport Blvd at Northern Ave,42.35148193,-71.04436085,Yes,23
D32059,Shawmut Ave at Lenox St,42.33584613,-71.08038157,Yes,19
D32048,Shawmut Ave at Oak St W,42.34854543,-71.06559185,Yes,15
E32009,Shawmut T Stop,42.292917,-71.06575,Yes,19
D32032,Silber Way,42.349496,-71.10057592,Yes,19
A32006,Soldiers Field Park - 111 Western Ave,42.36426344,-71.1182757,Yes,15
C32017,South Boston Library - 646 E Broadway,42.335741,-71.03877,Yes,15
A32009,South End Library - Tremont St at W Newton St,42.341332,-71.076847,Yes,15
A32010,South Station - 700 Atlantic Ave,42.352175,-71.055547,Yes,47
D32023,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,Yes,19
C32087,Spring St at Powell St,42.27748444,-71.16341468,Yes,19
B32063,St. Alphonsus St at Tremont St,42.33329255,-71.10124648,Yes,18
C32024,State Street at Channel Center,42.344137,-71.052608,Yes,19
D32041,Stony Brook T Stop,42.316966,-71.104374,Yes,19
D32049,Stuart St at Berkeley St,42.34954403,-71.07242074,Yes,19
D32011,Stuart St at Charles St,42.351146,-71.066289,Yes,18
D32053,Sullivan Square,42.38445226,-71.07514855,Yes,19
A32013,Surface Rd at India St,42.358155,-71.052163,Yes,19
A32042,Surface Rd at Summer St,42.3529457,-71.05656401,Yes,27
C32064,Sydney St at Carson St,42.32039374,-71.05355408,Yes,19
C32043,Talbot Ave At Blue Hill Ave,42.2945833,-71.087111,Yes,15
C32110,Talbot Ave T Station,42.29225148,-71.07797205,Yes,19
E32011,The Dimock Center,42.31930943,-71.09639924,Yes,16
A32033,The Eddy - New St at Sumner St,42.370744,-71.044201,Yes,15
C32028,The Lawn on D,42.344792,-71.044024,Yes,19
D32054,The Overlook at St. Gabriel's,42.34679008,-71.14549814,Yes,18
C32000,Tremont St at E Berkeley St,42.345392,-71.069616,Yes,19
B32056,Tremont St at Hamilton Pl,42.35668335,-71.06166646,Yes,18
C32056,Tremont St at Northampton St,42.3384318,-71.0816905,Yes,19
C32060,Tremont St at W. Dedham St,42.34254914,-71.07421449,Yes,15
D32014,Tremont St at West St,42.354979,-71.063348,Yes,15
C32035,Troy Boston,42.343749,-71.062256,Yes,5
A32001,Union Square - Brighton Ave at Cambridge St,42.353334,-71.137313,Yes,19
C32014,University of Massachusetts Boston - Campus Center,42.31218918,-71.03648586,Yes,19
A32053,Valenti Way at Haverhill St,42.36473899,-71.05934903,Yes,24
C32029,W Broadway at D St,42.3391085,-71.0514432,Yes,20
C32016,W Broadway at Dorchester St,42.33595898,-71.046229,Yes,17
C32102,Walnut Ave at School St,42.31242399,-71.09616905,Yes,19
D32021,Warren St at Chelsea St,42.371848,-71.060292,Yes,23
D32029,Washington St at Brock St,42.34895285,-71.16031677,Yes,15
C32005,Washington St at Lenox St,42.33509899,-71.07903779,Yes,15
B32026,Washington St at Melnea Cass Blvd,42.332817,-71.081198,Yes,19
C32006,Washington St at Rutland St,42.3385146,-71.07404083,Yes,27
C32038,Washington St at Talbot Ave,42.290333,-71.071806,Yes,17
D32002,Washington St at Waltham St,42.34157472,-71.0689044,Yes,15
C32034,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586,-71.04569256,Yes,15
B32021,Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.33758601,-71.09627098,Yes,12
D32022,West End Park,42.36590788,-71.06446669,Yes,35
B32059,Whittier St Health Center,42.33286288,-71.09218862,Yes,19
D32040,Williams St at Washington St,42.306539,-71.107669,Yes,23
