ID,Name,Latitude,Longitude,Public,Total docks,roundtrip_ratio,trips,log_trips
A32019,175 N Harvard St,42.36447457,-71.12840831,Yes,17,0.0410536415973681,175088,5.2432563818780205
C32094,2 Hummingbird Lane at Olmsted Green,42.28887,-71.095003,Yes,17,0.3299565846599132,691,2.8394780473741985
C32106,555 Metropolitan Ave,42.2681,-71.11924,Yes,18,0.2754491017964072,334,2.523746466811565
C32105,606 American Legion Hwy at Canterbury St,42.28578,-71.109725,Yes,18,0.0751782242384964,1543,3.188365926063148
C32091,645 Summer St,42.34178089,-71.03987017,Yes,19,0.0278299671207139,17032,4.231265648430266
B32060,700 Commonwealth Ave.,42.34960945,-71.10391524,Yes,16,0.0418789985870997,125982,5.100308498616721
C32061,Albany St at E. Brookline St,42.33664795,-71.0689446,Yes,15,0.0171673819742489,52891,4.723381778219141
C32079,American Legion Hwy at Cummins Hwy,42.27881158,-71.11687703,Yes,14,0.1705263157894737,950,2.977723605288848
B32004,Aquarium T Stop - 200 Atlantic Ave,42.36044136,-71.0504394,Yes,23,0.0513097567386035,205458,5.312723056224384
C32048,Archdale Rd at Washington St,42.29266593,-71.12119539,Yes,15,0.3050889328063241,8096,3.908270499495724
C32062,Ashmont T Stop,42.2856944,-71.0641389,Yes,15,0.1217022915463123,10386,4.016448318259037
A32003,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,Yes,11,0.0312236031033004,230851,5.363331760167391
C32003,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412,-71.07657015,Yes,19,0.0183551627899527,249739,5.39748636839148
B32055,Bartlett St at John Elliot Sq,42.3294633,-71.0901582,Yes,15,0.0204688218170675,32635,4.513683617031996
C32108,Beach St at Freeport St,42.30367409,-71.05425954,Yes,19,0.0808080808080808,99,1.99563519459755
D32024,Beacon St at Charles St,42.356052,-71.069849,Yes,19,0.0602142444321984,148802,5.172608768462054
C32059,Belgrade Ave at Walworth St,42.28634589,-71.1367213,Yes,14,0.2009910802775024,5045,3.7028611705729295
A32028,Bennington St at Byron St,42.38353252,-71.01619095,Yes,15,0.292399022232569,8591,3.934043719035525
A32039,Bennington St at Constitution Beach,42.38522394,-71.01063069,Yes,15,0.2599708879184861,13740,4.137986732723531
C32044,Blue Hill Ave at Almont St,42.27462067,-71.09372552,Yes,19,0.3268348623853211,1744,3.2415464805965484
C32092,Blue Hill Ave at Havelock St,42.286012,-71.090986,Yes,18,0.1871921182266009,1218,3.0856472882968564
B32008,Boston City Hall - 28 State St,42.35892,-71.057629,Yes,25,0.0306594638670879,245275,5.389653284385127
D32018,Boston Convention and Exhibition Center - Summer St at West Side Dr,42.34776345,-71.04535997,Yes,23,0.0439205214244303,56921,4.755272521255307
A32036,Boston East - 126 Border St,42.37331213,-71.04102008,Yes,15,0.1049354593773728,13170,4.119585774961784
A32045,Boston Landing,42.35656092,-71.14167538,Yes,17,0.0519507257317366,29143,4.464534256300944
B32031,Bowdoin St at Quincy St,42.30785224,-71.06512249,Yes,15,0.0752602081665332,14988,4.17574368442176
D32007,Boylston St at Arlington St,42.35206005,-71.07046366,Yes,31,0.0527310085596595,205382,5.312562378680809
D32013,Boylston St at Berkeley St,42.35114198,-71.07329249,Yes,15,0.0171667087846493,114757,5.05977918631084
D32046,Boylston St at Exeter St,42.34958942,-71.07946779,Yes,19,0.0358522560656866,156866,5.1955288224110125
C32008,Boylston St at Fairfield St,42.34880382,-71.08236909,Yes,19,0.025110659269858,239022,5.378437876006226
B32034,Boylston St at Jersey St,42.34465063,-71.09732501,Yes,15,0.0331055166248522,242739,5.385139558466583
B32018,Boylston St at Massachusetts Ave,42.34740621,-71.08678415,Yes,15,0.0253370864727393,294509,5.469098571077666
A32032,Bremen St at Marion St,42.37410622,-71.03276253,Yes,11,0.1836538461538461,2080,3.318063334962761
B32013,Brigham Circle - Francis St at Huntington Ave,42.33462893,-71.10407918,Yes,15,0.0149750163267165,131686,5.11953960604808
D32028,Brighton Center - Washington St at Cambridge St,42.34894857,-71.15027189,Yes,16,0.0407578052002448,62074,4.79290973188379
A32005,Brighton Mills - 370 Western Ave,42.36154571,-71.13776207,Yes,15,0.0706162026900218,79925,4.9026826449437255
C32053,Broadway T Stop,42.34304858,-71.0580343,Yes,19,0.0249975200872929,30243,4.480624869462199
A32023,Bunker Hill Community College,42.37408991,-71.06905997,Yes,23,0.0174947652687814,51101,4.708429398965095
B32020,Burlington Ave at Brookline Ave,42.345733,-71.100694,Yes,15,0.0167217048223318,80853,4.907696138766528
D32000,Cambridge St at Joy St,42.36125722,-71.06528744,Yes,15,0.0205206459106748,263442,5.420685014794904
