Artist,Location,Coordinates,Location Notes,Name,Year,Description,Neighborhood,Latitude,Longitude,ID
"Wen-ti Tsen, Yuon Zuo","Oxford St, Boston, MA 02111","42.35169668236009, -71.0605710631534",Pocket park off of Oxford Street,Chinatown Heritage,1988,"The Chinatown Heritage Mural is a copy of a 1705 ink painting at the MFA Boston: “Autumn mountains with travellers” by Wang Yun (Chinese, 1652–1735). Yet, that painting is a copy of an even earlier one by Fan Kuan (Chinese, c. 960 – c. 1030) done in the 11th century. While the painting in the MFA is an impressive eight feet tall, this mural spans four stories, or over 50 feet. ",Chinatown,42.35169668236009,-71.0605710631534,0
"Vyal ""Vyal One"" Reyes","Underground at Ink Block, 90 Traveler Street, Boston, MA 02126","42.345023834047964, -71.06052905619565",,Untitled,2017,"Vyal ""Vyal One"" Reyes usualy includes the stylized eyes in his work. In this rainbow mural, the eyes range in size and clarity. Some blend into the surrounding colors and patterns, while others stand out closer to the foreground. 

Underground at Ink Block opened after five years of planning, permitting, design, construction and leasing led by MassDOT in cooperation with the community, City of Boston, Boston Planning & Development Agency and the Federal Highway Administration. Through a public bid process, National Development, developer of Ink Block, was selected and has entered into a long-term lease as operator of the park. This park adds to the transformation of this area known as Ink Block, a seven building mixed-use community that has revitalized the New York Streets section of the South End.",South End,42.345023834047964,-71.06052905619565,1
"Victor ""Marka27"" Quiñonez, Rob ""ProBlak"" Gibbs","Underground at Ink Block, 90 Traveler Street, Boston, MA 02118","42.345023834047964, -71.06052905619565",,Don’t Let Me Be Misunderstood,2020,"In summer 2020, local artists Rob ""ProBlak"" Gibbs and Victor ""Marka27"" Quiñonez collaborated on this mural against the backdrop of the national Black Lives Matter movement. “Don’t Let Me Be Misunderstood” features a central raised fist and portraits of civil rights activist and musician Nina Simone. A small child is draped in an American flag appears on the left, and an allegorical figure of justice is cut off under her eyes on the right. The mural’s red, black, and green reflect the colors of the pan-African flag. 

Underground at Ink Block opened after five years of planning, permitting, design, construction and leasing led by MassDOT in cooperation with the community, City of Boston, Boston Planning & Development Agency and the Federal Highway Administration. Through a public bid process, National Development, developer of Ink Block, was selected and has entered into a long-term lease as operator of the park. This park adds to the transformation of this area known as Ink Block, a seven building mixed-use community that has revitalized the New York Streets section of the South End.",South End,42.345023834047964,-71.06052905619565,2
"Victor ""Marka27"" Quiñonez, David ""Don Rimx"" Sepulveda","Maurice J Tobin School, 40 Smith St, Roxbury, MA 02121","42.33310247231317, -71.0983383021578",,Untitled (Tobin School),2018,"One of the many collaborations adorning the Tobin School, this mural by Victor ""Marka27"" Quinone and David ""Don Rimx"" Sepulveda mixes their styles to create a stylized jaguar and warrior. Walk around the school building to see more work by local artists.",Roxbury,42.33310247231317,-71.0983383021578,3
"Victor ""Marka27"" Quiñonez","Washington Manor, 1701 Washington St. South End","42.33754240652663, -71.07612459818394",Visible from Worcester St.,Souledad,2022,"The City of Boston commissioned artist Victor ""Marka27"" Quiñonez to create this mural as part of the third round of the Transformative Public Art Program. The mural was inspired by the long history of cultural gatherings at Villa Victoria and depicts a variety of multicultural symbols.",South End,42.33754240652663,-71.07612459818394,4
"Victor ""Marka27"" Quiñonez","95 Magazine St, Boston, MA 02119","42.327263490418844, -71.06971565982968",,Back to the Essence,2020,"Part of the City's Transformation Public Art program, Victor ""Marka27"" Quiñonez found inspiration for his mural ""Back to the Essence"" in ancient Yoruba imagery of royalty and deities. The figure on the left is wearing a crown inspired by 12th century royalty, while the figure on the right is dressed in the yellows associated with Oshun, a river goddess who represents love and beauty.",Roxbury,42.327263490418844,-71.06971565982968,5
"Victor ""Marka27"" Quiñonez","199 Quincy St, Boston, MA 02121","42.31302898537912, -71.07515123099425",,Love Thyself,2018,"One of a series of recent murals in the Grove Hall neighborhood, Victor ""Marka27"" Quiñonez's mural, ""Love Thyself"" is a powerful and serene portrait of a Black woman with her eyes closed in a meditative pose. With a bright blue anatomical heart at her chest and flower petals in her afro, this mural is at once surreal and rooted in this world.",Dorchester,42.31302898537912,-71.07515123099425,6
"Victor ""Marka27"" Quiñonez","Underground at Ink Block, 90 Traveler Street, Boston, MA 02125","42.345023834047964, -71.06052905619565",,Cranes In The Sky,2019,"Victor ""Marka27"" Quiñonez painted “Cranes in the Sky” along a highway support beam, making the mural visible from Traveler Street and beyond. Solange’s 2016 song inspired the mural's title.

Underground at Ink Block opened after five years of planning, permitting, design, construction and leasing led by MassDOT in cooperation with the community, City of Boston, Boston Planning & Development Agency and the Federal Highway Administration. Through a public bid process, National Development, developer of Ink Block, was selected and has entered into a long-term lease as operator of the park. This park adds to the transformation of this area known as Ink Block, a seven building mixed-use community that has revitalized the New York Streets section of the South End.",South End,42.345023834047964,-71.06052905619565,7
Upendo Taylor,"Underground at Ink Block, 90 Traveler Street, Boston, MA 02126","42.345023834047964, -71.06052905619565",,Untitled,2017,"Like many of his works, this mural by Upendo Taylor features many patterns that give way to text and more representational drawings. Upendo also worked on the pavement designs on the adjacent blacktop.

Underground at Ink Block opened after five years of planning, permitting, design, construction and leasing led by MassDOT in cooperation with the community, City of Boston, Boston Planning & Development Agency and the Federal Highway Administration. Through a public bid process, National Development, developer of Ink Block, was selected and has entered into a long-term lease as operator of the park. This park adds to the transformation of this area known as Ink Block, a seven building mixed-use community that has revitalized the New York Streets section of the South End.",South End,42.345023834047964,-71.06052905619565,8
"Tony ""PRONZY"" Perez","Madison Park Technical Vocational High School, 75 Malcolm X Blvd, Boston, MA 02120","42.33204691212508, -71.08996914131734","Building 4, north wall",Black Love,2020,"In addition to a depiction of a Black woman leaning on a large jungle cat, ""Black Love"" features the names of and quotes from famous Black female writers and artists, including Zora Neale Hurston, Angela Davis, Sylvia Ardyn Boone, Tomi Adeyemi, and Bisa Butler. The mural makes extensive use of red, black, and green, the colors of the pan-African flag.",Roxbury,42.33204691212508,-71.08996914131734,9
Timothy McCool,"Finland Building, 774 Albany Street, Boston, MA","42.33400657014695, -71.0727591021576",Albany St side of building,Sunrise Over Albany Street,2017,"This blue, orange, and purple mural is a depiction of several city rooftops and a sunrise with a painting of that same scene on one of the rooftops. According to artist Timothy McCool, the easel and paintbrushes are evidence of someone inspired to capture the sunrise on canvas.",South End,42.33400657014695,-71.0727591021576,10
