Park,Location,Feature(s)
Adams/King Playground,470 Adams Street in Dorchester,"Playground, Street Hockey"
Amatucci Playground,1460 Hyde Park Avenue in Hyde Park,"Basketball, Playground"
American Legion Playground,25 Glendon Street in East Boston,"Players Bench, Basketball, Playground, Soccer"
American Legion Playground,East Boston,Athletic Field
A Street Park I,135-141 A Street in South Boston,"Playground, Dog Park"
Back Bay Fens,Fenway/Longwood,Athletic Field
Back Bay Fens,100 Park Drive (Clemente Field House) 125 The Fenway (Emerald Necklace Conservancy) 50 Park Drive (Duck House)  1 Evans Way (Evans Way) Forsyth Way (Roadway)   70 Park Drive (Rose Garden)   35 The Fenway (Mother's Rest) 20 Park Drive (Victory Garden) 89 in Fenway/Longwood,"Players Bench, Basketball, Playground"
Barry Playground,Charlestown,Athletic Field
Beauford Play Area,127 Howard Avenue in Roxbury,Playground
Beethoven School Play Area,5119 Washington Street in West Roxbury,Playground
Billings Field,West Roxbury,Athletic Field
Billings Field,369 LaGrange Street in West Roxbury,"Players Bench, Basketball, Playground, Spray Play, Tennis"
Boston Common,Back Bay/Beacon Hill,Athletic Field
Boston Common,139 Tremont St (Visitor Info Center) 1B Charles St (Earl of Sandwich)  38 Beacon St (Frog Pond) 167 Tremont St (Parkman Bandstand) 115 Boylston St (Deer Park) in Back Bay/Beacon Hill,"Tennis, Spray Play, Dog Park, Playground"
Brewer-Burroughs Tot Lot,2P Brewer Street in Jamaica Plain,Playground
Buckley Playground,210 West Third Street in South Boston,"Spray Play, Basketball, Playground"
Bynoe Park,50 Orchard Park in Roxbury,"Playground, Players Bench, Tennis, Athletic Field, Basketball, Spray Play"
Byrne Playground,23 Everett Street in Dorchester,"Street Hockey, Spray Play, Tennis, Playground"
Caldwell Street Play Area,9 Caldwell Street in Charlestown,"Spray Play, Playground"
Carter Playground,Roxbury,Athletic Field
Cassidy Playground,Allston-Brighton,Athletic Field
Cassidy Playground,379 Chestnut Hill Avenue in Allston-Brighton,"Tennis, Players Bench"
Ceylon Park,105 Ceylon Street in Dorchester,"Basketball, Spray Play, Playground"
Charlestown H.S. Athletic Fields,Charlestown,Athletic Field
Children's Park,81-85 Intervale Street in Dorchester,"Spray Play, Playground"
Chinatown Park,34 W Lincoln Street in Chinatown,"Spray Play, Playground"
Christopher Columbus Park,110 Atlantic Avenue in Central Boston,"Spray Play, Playground"
Christopher Lee Playground,775 East First Street in South Boston,"Basketball, Playground"
Christopher Lee Playground,South Boston,Athletic Field
City Hall Plaza,1 City Hall Plaza in Central Boston,"Playground"
Clarendon Street Playlot,260 Clarendon Street in Back Bay/Beacon Hill,Playground
Clifford Playground,Roxbury,Athletic Field
Clifford Playground,160 Norfolk Avenue in Roxbury,"Basketball, Players Bench, Tennis, Playground"
Cook Street Play Area,15 Hill Street in Charlestown,Playground
Crawford Street Playground,Roxbury,Athletic Field
Crawford Street Playground,320 Walnut Avenue in Roxbury,"Players Bench, Playground"
Cuneo Park,765 Saratoga Street in East Boston,Playground
Cutillo Park,10 Stillman Street in Central Boston,"Playground, Basketball"
Deer Street Park,39 Deer Street in Dorchester,Playground
Defilippo Playground,135 Prince Street in Central Boston,"Dog Park, Basketball, Street Hockey, Playground"
Dennis Street Park,138 Moreland Street in Roxbury,"Spray Play, Playground"
Doherty/Gibson Playground,1545 Dorchester Avenue in Dorchester,"Spray Play, Playground, Basketball, Players Bench"
Doherty Playground,349 Bunker Hill Street in Charlestown,"Playground, Spray Play, Basketball"
Dorchester Park,2180 Dorchester Avenue in Dorchester,"Playground, Tennis"
Downer Avenue Playground,40 Downer Avenue in Dorchester,"Basketball, Dog Park, Playground"
Draper Playground,West Roxbury,Athletic Field
Draper Playground,5265 Washington Street in West Roxbury,"Playground, Players Bench, Basketball"
Dudley Town Common,"366-378 Dudley Street
421-425 Dudley Street in Roxbury",Spray Play
East Boston Memorial Park I,East Boston,"Spray Play, Tennis, Players Bench, Playground, Athletic Field"
Edgerly Road Playground,6 Edgerly Road in Fenway/Longwood,"Playground, Spray Play"
Edwards Playground,10 Eden Street in Charlestown,"Street Hockey, Playground, Bench, Basketball"
Elliot Norton Park,295 Tremont Street in Central Boston,Playground
Elmhurst Street Park,27-35 Elmhurst Street in Dorchester,"Playground, Spray Play"
English H.S. Athletic Fields,20 Williams Street in Jamaica Plain,Athletic Field
English HS Athletic Fields,20 Williams Street in Jamaica Plain,"Basketball, Tennis"
Erie/Ellington Playground,125 Erie Street in Dorchester,"Playground, Spray Play"
Ernst Chery Jr. Playground,74 Orlando Street in Mattapan,"Playground, Spray Play"
Fallon Field,910 South Street in Roslindale,"Spray Play, Street Hockey, Tennis, Players Bench, Athletic Field, Basketball, Playground"
