X,Y,id,spp_com,spp_bot,numberof_st,dbh_range,dbh,date_plant,city,neighborhood,park,x_longitude,y_latitude,ObjectId
-71.161585989,42.355429061,42949,"Maple, Norway",Acer platanoides,1,12-18in,16,--,Boston,Allston-Brighton,Hobart Park,-71.16158,42.35543,1
-71.161516252,42.355420142,42950,"Maple, Norway",Acer platanoides,1,12-18in,14,--,Boston,Allston-Brighton,Hobart Park,-71.16151,42.35542,2
-71.161470654,42.355412214,42951,"Maple, Norway",Acer platanoides,1,6-12in,10,--,Boston,Allston-Brighton,Hobart Park,-71.16147,42.35541,3
-71.161403599,42.355400321,42952,"Maple, Norway",Acer platanoides,1,18-24in,18,--,Boston,Allston-Brighton,Hobart Park,-71.1614,42.3554,4
-71.161239984,42.355363652,42953,"Birch, River",Betula nigra,1,6-12in,6,--,Boston,Allston-Brighton,Hobart Park,-71.16124,42.35536,5
-71.16118634,42.355354733,42954,"Birch, River",Betula nigra,1,6-12in,6,--,Boston,Allston-Brighton,Hobart Park,-71.16119,42.35535,6
-71.161116603,42.355343831,42955,"Birch, River",Betula nigra,1,6-12in,6,--,Boston,Allston-Brighton,Hobart Park,-71.16112,42.35534,7
-71.161494794,42.355584656,42956,Empty Pit/Planting Site,Empty Pit/Planting Site,0,,0,--,Boston,Allston-Brighton,Hobart Park,-71.16149,42.35558,8
-71.161314343,42.3555669,42957,"Lilac, Japanese Tree",Syringa reticulata,1,3-6in,4,--,Boston,Allston-Brighton,Hobart Park,-71.16132,42.35557,9
-71.161088791,42.355385042,43130,"Maple, Japanese",Acer palmatum,1,0-3in,1,--,Boston,Allston-Brighton,Hobart Park,-71.16109,42.35538,10
-71.161079403,42.355474236,43131,"Corktree, Amur",Phellodendron amurense,1,6-12in,10,--,Boston,Allston-Brighton,Hobart Park,-71.16108,42.35547,11
-71.161091473,42.355707132,43132,Horsechestnut,Aesculus hippocastanum,1,6-12in,8,--,Boston,Allston-Brighton,Hobart Park,-71.16109,42.35571,12
-71.161074039,42.35578047,43133,Horsechestnut,Aesculus hippocastanum,1,6-12in,8,--,Boston,Allston-Brighton,Hobart Park,-71.16107,42.35578,13
-71.16106331,42.355844887,43134,"Ash, Green",Fraxinus pennsylvanica,1,12-18in,12,--,Boston,Allston-Brighton,Hobart Park,-71.16106,42.35585,14
-71.161053922,42.355895431,43135,"Maple, Norway",Acer platanoides,2,12-18in,14,--,Boston,Allston-Brighton,Hobart Park,-71.16106,42.3559,15
-71.16105124,42.355919216,43136,"Maple, Norway",Acer platanoides,3,24-30in,26,--,Boston,Allston-Brighton,Hobart Park,-71.16105,42.35592,16
