Name,dbaname,address,city,state,zip,licstatus,licensecat,descript,license_add_dt_tm,dayphn_cleaned,property_id,Latitude,Longitude,ID
311,,605 Tremont,Roxbury,MA,2118,Active,FS,Eating & Drinking,2022-08-01 15:00:41.393+00,,137766.0,42.34313954,-71.07364051,0
# 7 RESTAURANT,,225 Grove,West Roxbury,MA,2132,Active,FT,Eating & Drinking w/ Take Out,2007-03-23 19:20:59+00,0.0,156965.0,42.26187293,-71.15741108,1
100 Federal Market & Barista- 10th Floor,,100 Federal,Boston,MA,2110,Active,FS,Eating & Drinking,2023-08-09 16:00:26.99+00,6174345000.0,57150.0,42.35476952,-71.05613045,2
100 Federal Market & Barista- 11th Floor,,100 Federal,Boston,MA,2110,Active,FT,Eating & Drinking w/ Take Out,2021-01-12 15:37:24.463+00,6174345000.0,57150.0,42.35476952,-71.05613045,3
110 Grill,,25 Jan Karski,Dorchester,MA,2125,Active,FS,Eating & Drinking,2018-11-29 19:14:04.217+00,9786929450.0,421286.0,42.3253745,-71.06155276,4
129 Lake Street Cafe,,127 LAKE,Brighton/,MA,2135,Active,FS,Eating & Drinking,2010-10-14 16:49:26+00,5084463942.0,0.0,34.24438675,-73.6513909,5
149 Eat Street,,300 CHELSEA,Charlestown/,MA,2129,Active,FS,Eating & Drinking,2007-10-11 13:08:52+00,6177262520.0,0.0,34.24438675,-73.6513909,6
154 Station,,154 Maverick,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,2014-06-17 14:03:42.61+00,6174556223.0,92958.0,42.36990749,-71.03791338,7
163 Vietnamese Sandwich,,66 Harrison,Boston,MA,2111,Active,FS,Eating & Drinking,2007-08-09 17:26:45+00,6175427903.0,69990.0,42.35128952,-71.06105047,8
1928 Beacon Hill,,97 Mount Vernon,Boston,MA,2108,Active,FS,Eating & Drinking,2021-10-05 16:30:10.363+00,8572335662.0,98781.0,42.35805953,-71.06972047,9
1st Floor Cafe @ Tufts Medical Center,,750 Washington,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,2023-10-04 15:08:25.153+00,,158017.0,42.35055518,-71.0628613,10
20TH CENTRY BOWLING LANES,,1231 Hyde Park,Hyde Park,MA,2136,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:34:04+00,6173645274.0,77089.0,42.25681962,-71.12411082,11
