OBJECTID,OS_ID,PARK_ID,Name,Type,Acres,Avg. Lat,Avg. Long
1,2000,,Wilson Park,"Malls, Squares & Plazas",0.09718357,42.340991124000055,-71.14592892599995
2,156,156,James H. Roberts Playground,Playgrounds,1.00413568,42.35952553200005,-71.12533246149997
3,284,284,Smith Playground,Playgrounds,15.02524742,42.36507196100004,-71.13104615899996
4,115,115,Fern Square,"Malls, Squares & Plazas",0.04450911,42.35953406100006,-71.13329072949998
5,259,259,Ringer Playground,Playgrounds,10.26309317,42.35045632200007,-71.13812892049995
6,193,193,McKinney Playground,Playgrounds,5.89186071,42.35463145150004,-71.15292741949997
7,154,154,Hobart Park,Parks,0.80891409,42.35572421900005,-71.16132052399996
8,188,188,Market Street Burying Ground,Cemeteries & Burying Grounds,0.39538045,42.35045317300006,-71.15234523399997
9,162,162,Jackson Square,"Malls, Squares & Plazas",0.12032328,42.34597978600004,-71.15274223099996
10,3000,,Reilly Playground,Playgrounds,6.96749208,42.33700505250005,-71.15269437699996
11,3001,,Boyden Park,"Malls, Squares & Plazas",0.48183069,42.33954287650005,-71.16637026649997
12,110,110,Evergreen Cemetery,Cemeteries & Burying Grounds,20.77387518,42.33839303100004,-71.16238493699996
13,143,143,Hardiman Playground,Playgrounds,1.47315094,42.35136046800005,-71.16619070499996
14,267,267,Rogers Park,Parks,8.17184526,42.34762765100004,-71.15944217249998
15,128,128,Chandler Pond,Parks,19.03417426,42.345034207000054,-71.16574343999994
16,210,210,Mullen Square,"Malls, Squares & Plazas",0.22676977,42.319336472500055,-71.05802175199995
17,89,089,Dorchester North Burying Ground,Cemeteries & Burying Grounds,3.30419728,42.317206903000056,-71.06373744749996
18,92,092,Downer Avenue Playground,Playgrounds,0.77917123,42.31154402100006,-71.06173662799995
19,251,251,Quincy/Stanley Play Area,Parks,0.37525126,42.31108400200006,-71.06878294449996
20,80,080,Deer Street Park,Parks,0.24657505,42.310999277000064,-71.05873330549994
