OBJECTID,Name,Avg. Lat,Avg. Long,NUM STATIONS,Station 1,Station 1 Dist ,Station 2,Station 2 Dist ,Station 3,Station 3 Dist ,Station 4,Station 4 Dist ,Station 5,Station 5 Dist ,Station 6,Station 6 Dist ,Station 7,Station 7 Dist ,Station 8,Station 8 Dist ,Station 9,Station 9 Dist ,Station 10,Station 10 Dist 
1,Indian Street Cravings,42.3505341,-71.075124,10,FINAGLE-A-BAGEL,0.053606118577487635,Smashburger #1725,0.0643083326334601,Yamato II,0.0664811733579273,Chipotle Mexican Grill,0.08235212839044545,L.A. Burdick Chocolate,0.08527330653558272,Insomnia Cookies,0.08696395616986209,Dig Inn,0.08855449191629151,Flik @ Skadden  Arps  Slate,0.10081094973117913,Chick-Fil-A,0.10992197437504536,THAI BASIL,0.13520467141308892
2,Moyzilla,42.3505341,-71.075124,10,FINAGLE-A-BAGEL,0.053606118577487635,Smashburger #1725,0.0643083326334601,Yamato II,0.0664811733579273,Chipotle Mexican Grill,0.08235212839044545,L.A. Burdick Chocolate,0.08527330653558272,Insomnia Cookies,0.08696395616986209,Dig Inn,0.08855449191629151,Flik @ Skadden  Arps  Slate,0.10081094973117913,Chick-Fil-A,0.10992197437504536,THAI BASIL,0.13520467141308892
3,Hungry Nomads,42.3505341,-71.075124,10,FINAGLE-A-BAGEL,0.053606118577487635,Smashburger #1725,0.0643083326334601,Yamato II,0.0664811733579273,Chipotle Mexican Grill,0.08235212839044545,L.A. Burdick Chocolate,0.08527330653558272,Insomnia Cookies,0.08696395616986209,Dig Inn,0.08855449191629151,Flik @ Skadden  Arps  Slate,0.10081094973117913,Chick-Fil-A,0.10992197437504536,THAI BASIL,0.13520467141308892
4,Chicken and Rice Guys ,42.3505341,-71.075124,10,FINAGLE-A-BAGEL,0.053606118577487635,Smashburger #1725,0.0643083326334601,Yamato II,0.0664811733579273,Chipotle Mexican Grill,0.08235212839044545,L.A. Burdick Chocolate,0.08527330653558272,Insomnia Cookies,0.08696395616986209,Dig Inn,0.08855449191629151,Flik @ Skadden  Arps  Slate,0.10081094973117913,Chick-Fil-A,0.10992197437504536,THAI BASIL,0.13520467141308892
5,Tacos Calleteco,42.3505341,-71.075124,10,FINAGLE-A-BAGEL,0.053606118577487635,Smashburger #1725,0.0643083326334601,Yamato II,0.0664811733579273,Chipotle Mexican Grill,0.08235212839044545,L.A. Burdick Chocolate,0.08527330653558272,Insomnia Cookies,0.08696395616986209,Dig Inn,0.08855449191629151,Flik @ Skadden  Arps  Slate,0.10081094973117913,Chick-Fil-A,0.10992197437504536,THAI BASIL,0.13520467141308892
6,Hungry Nomads,42.3505341,-71.075124,10,FINAGLE-A-BAGEL,0.053606118577487635,Smashburger #1725,0.0643083326334601,Yamato II,0.0664811733579273,Chipotle Mexican Grill,0.08235212839044545,L.A. Burdick Chocolate,0.08527330653558272,Insomnia Cookies,0.08696395616986209,Dig Inn,0.08855449191629151,Flik @ Skadden  Arps  Slate,0.10081094973117913,Chick-Fil-A,0.10992197437504536,THAI BASIL,0.13520467141308892
7,Indian Street Cravings,42.3605809,-71.057741,10,Recreo Coffee,0.053291292516355886,Zaz Restaurant & Catering Corp.,0.053291292516355886,Alma Cantina,0.08848108169964021,Koy,0.09019553510393442,The White Bull,0.09019553510393442,Loyal Nine,0.0955470482300187,HENNESSY'S OF BOSTON,0.09605395667929138,Saus Boston,0.10264956990266477,UNION OYSTER HOUSE,0.1042917168865437,DUNKIN DONUTS',0.11552916872042181
8,Chick-fil-A,42.3778336,-71.051037,0,Dunkin Donuts,0.34665114780566136,Dovetail,0.4026843904022718,The Anchor,0.4053083446753936,Charlestown Recovery House,0.46554588906436006,Brewer's Fork,0.46944240730462683,Style Cafe,0.5201667460716823,Pier 6 Restaurant,0.5236408249382474,Chattermark Distillers,0.5984859931822989,The Corner Restaurant,0.8128230350425417,AFC Sushi @ Shaws #1208,0.8971883722321449
9,Chick-fil-A,42.3778336,-71.051037,0,Dunkin Donuts,0.34665114780566136,Dovetail,0.4026843904022718,The Anchor,0.4053083446753936,Charlestown Recovery House,0.46554588906436006,Brewer's Fork,0.46944240730462683,Style Cafe,0.5201667460716823,Pier 6 Restaurant,0.5236408249382474,Chattermark Distillers,0.5984859931822989,The Corner Restaurant,0.8128230350425417,AFC Sushi @ Shaws #1208,0.8971883722321449
10,Indian Street Cravings,42.3404783,-71.088974,10,Northeastern Univ/Curry Center,0.04832955313025461,Mamacita,0.08126241263921295,Wings Over Boston,0.08768226670605371,Tatte Bakery & Cafe,0.11000082845120271,N.U. Stetson Hall East,0.1210107236463113,N.U. Stetson Hall West,0.1210107236463113,Amelia's Taqueria,0.1344133836493919,Poke Bar & Kitchen,0.1346511421898807,Gyroscope/Sprout/Bos Hse of Pizza,0.16128122837069372,Chartwells Churchill Cafe,0.18907490722991757
11,Indian Street Cravings,42.3404783,-71.088974,10,Northeastern Univ/Curry Center,0.04832955313025461,Mamacita,0.08126241263921295,Wings Over Boston,0.08768226670605371,Tatte Bakery & Cafe,0.11000082845120271,N.U. Stetson Hall East,0.1210107236463113,N.U. Stetson Hall West,0.1210107236463113,Amelia's Taqueria,0.1344133836493919,Poke Bar & Kitchen,0.1346511421898807,Gyroscope/Sprout/Bos Hse of Pizza,0.16128122837069372,Chartwells Churchill Cafe,0.18907490722991757
12,Zinnekens,42.3493844,-71.102356,10,NOODLE STREET RESTAURANT,0.07507137981477376,Saxbys - 1st Floor,0.0795199531667327,The Juicery,0.13718165035242008,B.U. WARREN TOWER CAFE,0.14060881499260985,Starbucks,0.14060881499260985,Fresh Fuel at Granby Commons,0.1612120211802892,Basho Express,0.19685159069788696,B. U. Einsteins Bagels,0.19881534426921674,B.U. SCHOOL OF MANAGEMENT,0.21289364763879773,BREADWINNERS/STARBUCK'S,0.21289364763879773
