OBJECTID,Title,Artist,Avg. Lat,Avg. Long,NUM STATIONS,Station 1,Station 1 Dist ,Station 2,Station 2 Dist ,Station 3,Station 3 Dist ,Station 4,Station 4 Dist ,Station 5,Station 5 Dist ,Station 6,Station 6 Dist ,Station 7,Station 7 Dist ,Station 8,Station 8 Dist ,Station 9,Station 9 Dist ,Station 10,Station 10 Dist 
0,Chinatown Heritage,"Wen-ti Tsen, Yuon Zuo",42.35169668,-71.06057106,10,Nan Xiang Express,0.019029980464256885,Jibei Chuan,0.021846474916135613,Five Spices House,0.026088280187566083,Avana Market Place,0.032950330514313904,Friendship BBQ,0.032950330514313904,WTEA,0.03364183307041875,Dumpling King,0.03669668069436438,TAIWAN CAFE,0.03925114026178999,ASIAN GARDEN RESTAURANT INC.,0.04812469309959213,Ten Second Noodles,0.048324674422715
1,Untitled,"Vyal ""Vyal One"" Reyes",42.34502383,-71.06052906,10,AC Hotel by Marriot,0.11793528585318265,Capital One Cafe,0.1903486235946167,PLNT Burger,0.1903486235946167,WHOLE FOODS MARKET,0.1903486235946167,Bar Mezzana,0.22940040797220038,Fuji at Ink Block,0.2325655555992199,Yellow Door Taqueria,0.2325655555992199,Sweetgreen,0.23297392105899614,Cuppa Coffee,0.2344675028574048,Baleia,0.23529102193094503
2,Don’t Let Me Be Misunderstood,"Victor ""Marka27"" Quiñonez, Rob ""ProBlak"" Gibbs",42.34502383,-71.06052906,10,AC Hotel by Marriot,0.11793528585318265,Capital One Cafe,0.1903486235946167,PLNT Burger,0.1903486235946167,WHOLE FOODS MARKET,0.1903486235946167,Bar Mezzana,0.22940040797220038,Fuji at Ink Block,0.2325655555992199,Yellow Door Taqueria,0.2325655555992199,Sweetgreen,0.23297392105899614,Cuppa Coffee,0.2344675028574048,Baleia,0.23529102193094503
3,Untitled (Tobin School),"Victor ""Marka27"" Quiñonez, David ""Don Rimx"" Sepulveda",42.33310247,-71.0983383,10,CHACHO'S PIZZA,0.13727489931365103,Milkweed,0.14383473375783926,Chilacates,0.1525210599174476,Tavern of Tales,0.1525210599174476,Green Haus Cafe,0.15418230161330812,MIKES DONUTS,0.1625262338967958,Lilly Gourmet Pasta Express,0.16704076268414528,Nachlo,0.1850810194757398,A K's Take Out & Delivery,0.21545607419154889,Cilantro Latin Kitchen,0.25159543387648287
4,Souledad,"Victor ""Marka27"" Quiñonez",42.33754241,-71.0761246,10,Yunnan Kitchen,0.06693727201092649,TORO,0.07025643725143967,Jaho Coffee & Tea,0.0709698521469434,MIKE'S CITY DINER,0.07472826808545129,Dunkin Donuts,0.11207462777273475,El Centro,0.11599279948940727,Code 10 Restaurant Cafe,0.12466930352214124,FLOUR BAKERY & CAFE,0.13418838672127492,ORINOCO:A LATIN KITCHEN,0.15179402874155945,Anoush Ella,0.23751533729951324
5,Back to the Essence,"Victor ""Marka27"" Quiñonez",42.32726349,-71.06971566,6,Suffolk Construction,0.1251292635936107,Liberty Diner,0.14581118247668282,Casa Bonita Mexican Grill,0.17212983780413882,Victoria's Diner,0.24042186400927062,Brazilian Taste Kitchen-K119,0.28738586290709606,960 Cafe,0.2877743639412334,Bellas Rockin Burgers - Kitchen 120,0.31147355710392527,Ben's Fast Food-Kitchen 117,0.31147355710392527,Hen Chicken Rice-Kitchen 122,0.31147355710392527,Issa Onigiri-Kitchen 125,0.31147355710392527
6,Love Thyself,"Victor ""Marka27"" Quiñonez",42.31302899,-71.07515123,4,Eat Well Meal Kits,0.10160522658355359,House Of Seven Cafe,0.10160522658355359,La Pheegan Chef,0.10160522658355359,Rootaste,0.10160522658355359,Future Chefs,0.36814770151522186,Cool Shade Restaurant,0.5050402530104962,Caramelo Bakery Cafe,0.5065763521919331,Navarrete Restaurant,0.5891160901110434,La Familia Kitchen,0.62459399536016,FLAMES RESTAURANT III  INC.,0.666912018691216
7,Cranes In The Sky,"Victor ""Marka27"" Quiñonez",42.34502383,-71.06052906,10,AC Hotel by Marriot,0.11793528585318265,Capital One Cafe,0.1903486235946167,PLNT Burger,0.1903486235946167,WHOLE FOODS MARKET,0.1903486235946167,Bar Mezzana,0.22940040797220038,Fuji at Ink Block,0.2325655555992199,Yellow Door Taqueria,0.2325655555992199,Sweetgreen,0.23297392105899614,Cuppa Coffee,0.2344675028574048,Baleia,0.23529102193094503
8,Untitled,Upendo Taylor,42.34502383,-71.06052906,10,AC Hotel by Marriot,0.11793528585318265,Capital One Cafe,0.1903486235946167,PLNT Burger,0.1903486235946167,WHOLE FOODS MARKET,0.1903486235946167,Bar Mezzana,0.22940040797220038,Fuji at Ink Block,0.2325655555992199,Yellow Door Taqueria,0.2325655555992199,Sweetgreen,0.23297392105899614,Cuppa Coffee,0.2344675028574048,Baleia,0.23529102193094503
9,Black Love,"Tony ""PRONZY"" Perez",42.33204691,-71.08996914,2,QUALITY EATS,0.24034145761738973,Reggie Lewis Track and Athletic Center,0.25870726853516873,Ascia Foods,0.3079313180475041,Northeastern University/Cafe Crossing,0.33700478911450193,Northeastern Univ./International Village,0.357025792566838,Anshur Restauruant,0.4006561764945881,Dunkin' Donuts,0.415300887128448,Fasika Cafe,0.4533136517580488,Cilantro Latin Kitchen,0.4784231797832926,Dunkin Donuts,0.4909920097162262
