id,Title,Artist,Lat,Long,Station 1,Station 1 Dist,Station 2,Station 2 Dist,Station 3,Station 3 Dist,Station 4,Station 4 Dist,Station 5,Station 5 Dist
0,Chinatown Heritage,"Wen-ti Tsen, Yuon Zuo",42.35169668236009,-71.0605710631534,D32015,0.1061793273419647,D32019,0.1908527865723288,D32043,0.28191275107422037,A32042,0.35811725082409873,A32010,0.4173418785466456
1,Untitled,"Vyal ""Vyal One"" Reyes",42.345023834047964,-71.06052905619565,C32035,0.200757463750988,C32025,0.23971313418218435,C32057,0.27368292233388297,C32009,0.2818246494723061,C32053,0.3006700632325572
2,Don’t Let Me Be Misunderstood,"Victor ""Marka27"" Quiñonez, Rob ""ProBlak"" Gibbs",42.345023834047964,-71.06052905619565,C32035,0.200757463750988,C32025,0.23971313418218435,C32057,0.27368292233388297,C32009,0.2818246494723061,C32053,0.3006700632325572
3,Untitled (Tobin School),"Victor ""Marka27"" Quiñonez, David ""Don Rimx"" Sepulveda",42.33310247231317,-71.0983383021578,B32063,0.24061186425179745,C32001,0.3369825080167955,B32033,0.3893727575132428,B32013,0.5026064111005186,B32059,0.5075392015066585
4,Souledad,"Victor ""Marka27"" Quiñonez",42.33754240652663,-71.07612459818394,C32006,0.2028585210517658,C32005,0.36236244184029304,D32059,0.39822503801754644,A32009,0.4251364211851676,C32056,0.4692094862592401
5,Back to the Essence,"Victor ""Marka27"" Quiñonez",42.327263490418844,-71.06971565982968,C32022,0.27529617758763575,C32015,0.5118331550471453,C32061,1.0443585838208018,B32026,1.1296883152014983,C32005,1.160975053763291
6,Love Thyself,"Victor ""Marka27"" Quiñonez",42.31302898537912,-71.07515123099425,B32029,0.4265028662845838,B32028,0.7429999530839048,B32022,0.8060448075678661,B32031,1.007134505525186,C32037,1.0460945546181355
7,Cranes In The Sky,"Victor ""Marka27"" Quiñonez",42.345023834047964,-71.06052905619565,C32035,0.200757463750988,C32025,0.23971313418218435,C32057,0.27368292233388297,C32009,0.2818246494723061,C32053,0.3006700632325572
8,Untitled,Upendo Taylor,42.345023834047964,-71.06052905619565,C32035,0.200757463750988,C32025,0.23971313418218435,C32057,0.27368292233388297,C32009,0.2818246494723061,C32053,0.3006700632325572
9,Black Love,"Tony ""PRONZY"" Perez",42.33204691212508,-71.08996914131734,B32059,0.20414896490206572,B32055,0.287409603794636,B32064,0.3051227123960209,C32001,0.43931725936918403,B32002,0.4940882823537381
10,Sunrise Over Albany Street,Timothy McCool,42.33400657014695,-71.0727591021576,C32061,0.43001653073035684,C32006,0.511771092385834,C32005,0.5314979295082236,C32093,0.62731671440616,D32059,0.6606021933777777
11,Nevertheless,Thy Doan,42.345023834047964,-71.06052905619565,C32035,0.200757463750988,C32025,0.23971313418218435,C32057,0.27368292233388297,C32009,0.2818246494723061,C32053,0.3006700632325572
12,Community Mural,South Boston en Acción,42.33047595210843,-71.04902381377835,C32052,0.13281108504390926,C32016,0.6511549732139625,C32029,0.9794131823635267,C32017,1.0277243039633082,C32013,1.1398720923060885
13,Untitled,"Soraya ""Indie184"" Marquez",42.345023834047964,-71.06052905619565,C32035,0.200757463750988,C32025,0.23971313418218435,C32057,0.27368292233388297,C32009,0.2818246494723061,C32053,0.3006700632325572
14,Rising Tides,Sophy Tuttle,42.368427,-71.038637,A32030,0.10480512895250292,A32031,0.13947319872152705,A32057,0.33465149369129943,A32049,0.34676522511863805,A32044,0.4413196034266339
15,Whale Song,Sophy Tuttle,42.27521958469448,-71.08241345889993,C32103,0.4293272785424926,C32050,0.9258288790843193,C32044,0.935536324907045,C32045,1.2323217125061796,Z32999,1.370690869627268
16,Interconnected,Sophy Tuttle,42.36377259161841,-71.12582411828986,A32011,0.10123993604832758,A32019,0.22670908876590223,A32040,0.44781969409280636,A32052,0.49029854630606884,A32006,0.6242010818527859
