OBJECTID,Title,Artist,Avg. Lat,Avg. Long,NUM STATIONS,Station 1,Station 1 Dist ,Station 2,Station 2 Dist ,Station 3,Station 3 Dist ,Station 4,Station 4 Dist ,Station 5,Station 5 Dist ,Station 6,Station 6 Dist ,Station 7,Station 7 Dist ,Station 8,Station 8 Dist ,Station 9,Station 9 Dist ,Station 10,Station 10 Dist 
0,Chinatown Heritage,"Wen-ti Tsen, Yuon Zuo",42.35169668,-71.06057106,3,D32015,0.10617899114996326,D32019,0.1908531316977661,D32043,0.2819126326041042,A32042,0.35811711286917036,A32010,0.4173416542264205,D32014,0.43044219265606987,D32011,0.47507468588860124,D32048,0.5419102473636443,B32056,0.5612241274641008,D32042,0.596729454589259
1,Untitled,"Vyal ""Vyal One"" Reyes",42.34502383,-71.06052906,4,C32035,0.2007569243729737,C32025,0.23971303053860915,C32057,0.2736826448112066,C32009,0.2818247641947946,C32053,0.30066994945183456,D32043,0.5058382228588126,D32048,0.5718853452048822,C32024,0.6601051410722961,D32015,0.7098651311125747,C32000,0.7498931012595924
2,Don’t Let Me Be Misunderstood,"Victor ""Marka27"" Quiñonez, Rob ""ProBlak"" Gibbs",42.34502383,-71.06052906,4,C32035,0.2007569243729737,C32025,0.23971303053860915,C32057,0.2736826448112066,C32009,0.2818247641947946,C32053,0.30066994945183456,D32043,0.5058382228588126,D32048,0.5718853452048822,C32024,0.6601051410722961,D32015,0.7098651311125747,C32000,0.7498931012595924
3,Untitled (Tobin School),"Victor ""Marka27"" Quiñonez, David ""Don Rimx"" Sepulveda",42.33310247,-71.0983383,1,B32063,0.24061206395742812,C32001,0.33698220776564425,B32033,0.3893730328389139,B32013,0.50260666520369,B32059,0.5075390104465202,B32036,0.5131039878071603,B32021,0.5263676086296204,B32003,0.6071910205274148,Z32997,0.7620360130230042,B32055,0.7861012686016897
4,Souledad,"Victor ""Marka27"" Quiñonez",42.33754241,-71.0761246,1,C32006,0.20285844235002762,C32005,0.36236263165979066,D32059,0.3982250887093129,A32009,0.42513601820717956,C32056,0.4692092587029426,D32061,0.529607083313337,C32093,0.5564458844251916,C32060,0.5779939594000959,C32004,0.5820969927052906,C32061,0.6000021072259305
5,Back to the Essence,"Victor ""Marka27"" Quiñonez",42.32726349,-71.06971566,1,C32022,0.27529617863901895,C32015,0.5118331228089642,C32061,1.0443586311130735,B32026,1.1296883288507884,C32005,1.1609750793545746,B32017,1.200974380436469,D32059,1.2967906322534317,C32006,1.2996142106442783,C32112,1.3035071444289845,C32093,1.325241190282951
6,Love Thyself,"Victor ""Marka27"" Quiñonez",42.31302899,-71.07515123,0,B32029,0.4265032927416686,B32028,0.7430003986497343,B32022,0.8060445259197809,B32031,1.0071347312654981,C32037,1.046095066520931,C32111,1.118882445737161,C32113,1.2832383946483223,C32030,1.3543780105769292,C32015,1.3668253110771154,B32027,1.4498739599819175
7,Cranes In The Sky,"Victor ""Marka27"" Quiñonez",42.34502383,-71.06052906,4,C32035,0.2007569243729737,C32025,0.23971303053860915,C32057,0.2736826448112066,C32009,0.2818247641947946,C32053,0.30066994945183456,D32043,0.5058382228588126,D32048,0.5718853452048822,C32024,0.6601051410722961,D32015,0.7098651311125747,C32000,0.7498931012595924
8,Untitled,Upendo Taylor,42.34502383,-71.06052906,4,C32035,0.2007569243729737,C32025,0.23971303053860915,C32057,0.2736826448112066,C32009,0.2818247641947946,C32053,0.30066994945183456,D32043,0.5058382228588126,D32048,0.5718853452048822,C32024,0.6601051410722961,D32015,0.7098651311125747,C32000,0.7498931012595924
9,Black Love,"Tony ""PRONZY"" Perez",42.33204691,-71.08996914,2,B32059,0.20414916699283925,B32055,0.2874093739762106,B32064,0.3051228304807644,C32001,0.4393173138308423,B32002,0.4940884691932132,B32017,0.5594514925741332,B32026,0.7279445410414094,Z32997,0.7479312748013052,B32062,0.7960395852907303,B32021,0.8051790991512094
10,Sunrise Over Albany Street,Timothy McCool,42.33400657,-71.0727591,0,C32061,0.4300164118726733,C32006,0.5117711450605288,C32005,0.5314981063584878,C32093,0.6273166591084709,D32059,0.6606023675257143,B32026,0.7079485265497008,A32009,0.8806897348964521,C32056,0.8851085105207018,D32002,0.8986871828820888,D32061,0.9000244669359442
11,Nevertheless,Thy Doan,42.34502383,-71.06052906,4,C32035,0.2007569243729737,C32025,0.23971303053860915,C32057,0.2736826448112066,C32009,0.2818247641947946,C32053,0.30066994945183456,D32043,0.5058382228588126,D32048,0.5718853452048822,C32024,0.6601051410722961,D32015,0.7098651311125747,C32000,0.7498931012595924
12,Community Mural,South Boston en Acción,42.33047595,-71.04902381,1,C32052,0.1328113418018501,C32016,0.6511550821214014,C32029,0.9794134750573803,C32017,1.027724181188054,C32013,1.1398719095357408,C32064,1.1805419997663387,C32090,1.3245104579100115,C32091,1.4649237449811907,C32022,1.5032842509003144,C32112,1.5404337225657887
13,Untitled,"Soraya ""Indie184"" Marquez",42.34502383,-71.06052906,4,C32035,0.2007569243729737,C32025,0.23971303053860915,C32057,0.2736826448112066,C32009,0.2818247641947946,C32053,0.30066994945183456,D32043,0.5058382228588126,D32048,0.5718853452048822,C32024,0.6601051410722961,D32015,0.7098651311125747,C32000,0.7498931012595924
14,Rising Tides,Sophy Tuttle,42.368427,-71.038637,2,A32030,0.10480512895250292,A32031,0.13947319872152705,A32057,0.33465149369129943,A32049,0.34676522511863805,A32044,0.4413196034266339,A32033,0.5256273773745067,A32036,0.5770533360686899,A32041,0.7813289786408678,A32032,0.7950457439438341,A32050,0.9433452036885097
15,Whale Song,Sophy Tuttle,42.27521958,-71.08241346,0,C32103,0.42932779154182127,C32050,0.9258289272184917,C32044,0.9355361973426042,C32045,1.2323213003745814,Z32999,1.3706905664186226,C32092,1.3918151863720443,C32055,1.6395263440539403,C32094,1.8377774085634826,C32038,1.8930962312994997,C23109,1.8944153311829488
16,Interconnected,Sophy Tuttle,42.36377259,-71.12582412,2,A32011,0.10124006482142076,A32019,0.2267090183210416,A32040,0.447819468086523,A32052,0.4902987576982229,A32006,0.6242012379018111,M32038,0.9553547614117742,M32016,0.9926380090503416,M32014,1.0073668329877856,A32005,1.0140648311567826,M32017,1.1338506935753074
17,Untitled (City Hall),Sophia Ainslie,42.36049318,-71.05760676,6,D32009,0.010883781171327675,B32008,0.1747588688612071,B32032,0.19499390630551072,D32057,0.1956045983196421,A32058,0.2110499764593749,D32010,0.2870148987199335,B32061,0.3811675626081558,A32053,0.4929815061718735,A32013,0.518252643675636,B32056,0.5394026713932872
18,Protect What You Love,"Sneha ""IMAGINE"" Shrestha",42.36424863,-71.03315954,0,A32050,0.36206155215206554,A32044,0.38830866219308163,A32057,0.6093781906878046,A32049,0.7308641420756596,A32030,0.7468789001140748,A32031,0.7821917681761545,A32032,1.095473816412939,A32033,1.16094126858108,A32036,1.1970083170828105,A32041,1.3395120658359285
19,Surya,"Sneha ""IMAGINE"" Shrestha",42.34502383,-71.06052906,4,C32035,0.2007569243729737,C32025,0.23971303053860915,C32057,0.2736826448112066,C32009,0.2818247641947946,C32053,0.30066994945183456,D32043,0.5058382228588126,D32048,0.5718853452048822,C32024,0.6601051410722961,D32015,0.7098651311125747,C32000,0.7498931012595924
20,Rise,Silvia López Chavez,42.36424863,-71.03315954,0,A32050,0.36206155215206554,A32044,0.38830866219308163,A32057,0.6093781906878046,A32049,0.7308641420756596,A32030,0.7468789001140748,A32031,0.7821917681761545,A32032,1.095473816412939,A32033,1.16094126858108,A32036,1.1970083170828105,A32041,1.3395120658359285
21,Up and Under,Silvia López Chavez,42.34502383,-71.06052906,4,C32035,0.2007569243729737,C32025,0.23971303053860915,C32057,0.2736826448112066,C32009,0.2818247641947946,C32053,0.30066994945183456,D32043,0.5058382228588126,D32048,0.5718853452048822,C32024,0.6601051410722961,D32015,0.7098651311125747,C32000,0.7498931012595924
22,Caffe Ducali,Silvia López Chavez,42.36761173,-71.05797185,0,A32053,0.33867032932887076,D32021,0.5078936674578759,D32010,0.5558733493142818,A32025,0.5611894927806981,D32022,0.5674923355761452,D32006,0.7170937259574774,D32039,0.7688410458500755,D32057,0.7995420279070551,D32009,0.7999669574617169,B32032,0.8778616080117555
23,JOY,Silvia López Chavez,42.33730319,-71.08944273,3,B32002,0.1680798412241614,B32062,0.2285552776909191,Z32997,0.29244634057030117,B32064,0.3738272215915779,B32059,0.542666569600659,B32021,0.5636032212481609,D32061,0.568915421348628,C32056,0.6510534950404567,C32063,0.6731793966184705,C32004,0.7546767494508759
24,999 Cranes,Silvia López Chavez,42.33599758,-71.09058062,1,B32002,0.21561268438905576,B32064,0.31146768566735183,Z32997,0.32336701081923697,B32062,0.3559927097427873,B32059,0.37256830866773494,B32021,0.5010510581383063,C32001,0.6549989318867564,D32061,0.6851458082062936,B32033,0.6862651248747036,B32055,0.7266606647441138
25,Patterned Behavior,Silvia López Chavez,42.35178809,-71.09275276,0,B32037,0.46813333119614486,B32010,0.49009663315021057,B32018,0.691932653180905,D32032,0.6930460907254254,M32006,0.7020870612306752,B32058,0.7854426108819986,B32034,0.8777887420394775,C32008,0.9175355315942209,B32020,0.9383719936372155,B32060,0.9510305059826821
26,Rainbow Swag,Sharif Muhammad,42.30590172,-71.10985458,1,D32040,0.1936112128376526,D32052,0.48296978538338275,E32005,0.5593577359860262,E32001,0.5778656611061656,E32010,0.6611652046620068,C32089,1.2046541243334152,D32041,1.3094428270319767,C32102,1.3409182755456326,E32004,1.4277444344830799,C32027,1.5165635912682813
