SPACEID,Name,Avg. Lat,Avg. Long,num_objs,obj1_id,obj2_id,obj3_id,obj4_id,obj5_id,obj6_id,obj7_id,obj8_id,obj9_id,obj10_id,obj11_id,obj12_id,obj13_id,obj14_id,obj15_id,obj16_id,obj17_id,obj18_id,obj19_id,obj20_id,obj1_dist,obj2_dist,obj3_dist,obj4_dist,obj5_dist,obj6_dist,obj7_dist,obj8_dist,obj9_dist,obj10_dist,obj11_dist,obj12_dist,obj13_dist,obj14_dist,obj15_dist,obj16_dist,obj17_dist,obj18_dist,obj19_dist,obj20_dist
1,Wilson Park,42.340991124000055,-71.14592892599995,1,D32033,D32054,B32035,D32034,D32028,A32017,D32029,A32001,D32035,A32045,D32001,D32031,A32012,A32005,A32002,A32040,A32019,A32056,A32011,E32007,0.46696951138616843,0.6351933883618087,0.7037662799103379,0.9405997036703548,0.9470011650238176,1.404334615404434,1.467303984480592,1.5306036389857367,1.588796731444758,1.753559135698599,1.8068094708792246,1.9883918274636534,2.1941481684290536,2.3683750317916323,2.4990878054253938,2.563618969729718,2.967761489698544,2.9826204483133845,3.0614373583356644,3.234925768519238
2,James H. Roberts Playground,42.35952553200005,-71.12533246149997,2,A32040,A32011,A32019,A32006,A32012,A32052,A32002,A32005,D32035,A32001,A32017,A32045,A32003,D32034,D32001,B32060,A32008,D32054,D32032,D32028,0.22778549142019297,0.4252397694521286,0.564944012690371,0.7558221428050055,0.7742003530020575,0.9040235420542753,0.9741760440663456,1.0009255813921647,1.1362209102199017,1.1699595010095476,1.2535912219256584,1.3482252902069565,1.6849335098690703,1.6916336069014104,1.7391985762579678,2.0323404239873266,2.0950520072681016,2.146009414346157,2.2759895027755834,2.3365457920231085
3,Smith Playground,42.36507196100004,-71.13104615899996,5,A32019,A32040,A32005,A32011,A32052,A32006,A32045,A32001,D32001,A32012,D32035,A32017,A32002,D32034,D32054,D32028,A32003,B32060,A32008,D32029,0.14741915528441968,0.3861776922092225,0.4678315592001818,0.46921442196864793,0.4791622167337176,0.9397815959066318,1.0633138104339277,1.184222560791972,1.3413597722084687,1.3524468992275906,1.517520071059501,1.5540073860470676,1.6174017956478655,1.7782319567672142,2.1283612530153766,2.1648371982403836,2.355464237162494,2.6997038911784097,2.7662765041695447,2.7871937382317267
4,Fern Square,42.35953406100006,-71.13329072949998,2,A32040,A32005,A32019,A32045,A32001,A32011,A32012,D32001,D32035,A32017,A32052,A32006,D32034,A32002,D32054,D32028,A32003,D32029,D32033,B32060,0.3892962238512571,0.425521160710738,0.6661402760641093,0.753964798316083,0.754465108448478,0.8393539022078802,1.1113668387357472,1.123249064171616,1.1283939246393386,1.1355173884059058,1.189450079566408,1.3305770279539886,1.3483073110516692,1.4516199954612257,1.7257198852027482,1.8159240951882307,2.2867725203673417,2.506056200338248,2.613668153410132,2.6497724815071844
5,Ringer Playground,42.35045632200007,-71.13812892049995,3,A32001,D32034,A32017,D32035,D32054,A32045,D32028,D32001,A32012,A32005,A32040,A32002,D32033,A32019,A32011,D32029,B32035,A32006,A32052,D32031,0.1697238767350627,0.1825522831343958,0.33278335225783456,0.514236588129599,0.6002155599177854,0.6470230645944659,0.860761606613349,0.9332511663015242,1.0360089847850882,1.0817192395402146,1.1699288197485023,1.4214967504144094,1.4774271957828844,1.573482646897027,1.6697939088509732,1.681596589072605,1.8540303474332462,2.0710337106294046,2.0852671544270143,2.181393477936839
6,McKinney Playground,42.35463145150004,-71.15292741949997,1,D32001,D32028,D32029,A32045,D32054,D32031,D32034,A32001,A32005,D32033,A32017,D32035,A32040,B32035,A32019,A32012,A32011,A32052,A32002,A32006,0.4892337890101634,0.5554744556716731,0.8138893369149296,0.8550307121506373,0.9558913837845928,1.1201230131169944,1.1856552293130551,1.2087903203546988,1.3621389450771668,1.4937292395382287,1.6939275836419838,1.8782049314862608,2.0085325891002235,2.020492814458287,2.1946281379729955,2.325421340176074,2.444788778900029,2.689854762579416,2.7254437334326562,2.9510413365962633
7,Hobart Park,42.35572421900005,-71.16132052399996,0,D32031,D32029,D32028,D32001,A32045,D32054,D32033,D32034,A32001,A32005,B32035,A32017,D32035,A32040,A32019,A32012,A32011,A32052,A32002,A32006,0.6714471417980481,0.7104564953067353,1.1379052833124759,1.1850320264276548,1.594412933895589,1.5960181520704493,1.8449728561777263,1.9036248120950423,1.9707688330879671,2.0104832104336774,2.3603914483372415,2.4304201806104406,2.622335150826143,2.7174770889320583,2.8443984382306113,3.0879005623905327,3.118429518832714,3.3112241887353684,3.4876668557372716,3.63711385858877
8,Market Street Burying Ground,42.35045317300006,-71.15234523399997,1,D32028,D32029,D32054,D32001,D32034,A32045,D32033,D32031,A32001,A32017,B32035,A32005,D32035,A32040,A32012,A32019,A32011,A32002,A32052,A32006,0.2105544628338463,0.6468493880317625,0.6674968770472327,0.8642080946643905,1.0215925863496746,1.0784366933259328,1.1142916102480975,1.138575085051142,1.2485111620782603,1.59431370970236,1.6407729955247647,1.6897304040879608,1.7989519520821071,2.2131551969612233,2.329241259816881,2.480904927606942,2.6871693501844893,2.719817590373642,2.998534014839568,3.166485959486376
9,Jackson Square,42.34597978600004,-71.15274223099996,1,D32028,D32054,D32033,D32029,D32034,B32035,D32031,D32001,A32045,A32001,A32017,D32035,A32005,A32012,A32040,A32002,A32019,A32011,A32052,A32006,0.3739151812233668,0.5914143917998944,0.6275502563704946,0.6911571460835602,1.072390174434811,1.157294013302919,1.2276930482589306,1.3411481732035249,1.4737522661591507,1.4974225442774545,1.6735829753627183,1.884145904203152,2.1106153156187717,2.469504679662304,2.5360136660208523,2.8364009627523616,2.8565111384617765,3.0284990780710896,3.380490785681265,3.4772837782062993
10,Reilly Playground,42.33700505250005,-71.15269437699996,2,B32035,D32033,D32054,D32028,D32029,D32034,D32031,A32017,A32001,D32001,D32035,A32045,A32012,A32005,A32002,A32040,A32056,E32007,A32019,A32004,0.08203007124686576,0.29685470893164856,1.1818444998151956,1.2569224688381755,1.3193462372200317,1.6004491536273442,1.728609975057502,2.102837417120855,2.1647925972612283,2.229582390980559,2.281656980290927,2.2878620346128344,2.8815036737621935,2.9262487865005986,3.1660849084274925,3.218558734684227,3.3959082098068754,3.4583457180007433,3.597556027088032,3.6980776825348363
