SPACEID,Name,Avg. Lat,Avg. Long,num_objs,obj1_id,obj2_id,obj3_id,obj4_id,obj5_id,obj6_id,obj7_id,obj8_id,obj9_id,obj10_id,obj1_dist,obj2_dist,obj3_dist,obj4_dist,obj5_dist,obj6_dist,obj7_dist,obj8_dist,obj9_dist,obj10_dist
1,Wilson Park,42.340991124000055,-71.14592892599995,10.0,755.0,1446.0,2904.0,105.0,181.0,2596.0,1426.0,1711.0,383.0,1816.0,0.04328812450780672,0.04504085940889315,0.061643609963153254,0.0656813526473289,0.35007152132384334,0.3596733223143997,0.37010626347714753,0.37070915369271545,0.39508835432074674,0.4010056385601293
2,James H. Roberts Playground,42.35952553200005,-71.12533246149997,3.0,870.0,2252.0,2566.0,869.0,2720.0,141.0,2322.0,777.0,2439.0,2354.0,0.12011578195904413,0.3547410333364032,0.42682171274658887,0.5110224244071228,0.5248767312425062,0.5290808593434666,0.5351482381299796,0.538656193455666,0.5705814155836779,0.5808752958752139
3,Smith Playground,42.36507196100004,-71.13104615899996,10.0,2439.0,869.0,2322.0,2974.0,141.0,2566.0,2362.0,2949.0,381.0,1456.0,0.018175289431558533,0.07371676280045084,0.08837359089893324,0.09534472774654941,0.19506293277244827,0.20371549387116472,0.2821854970486913,0.3261574922309686,0.3261574922309686,0.3261574922309686
4,Fern Square,42.35953406100006,-71.13329072949998,10.0,2419.0,869.0,2362.0,274.0,1361.0,2439.0,1865.0,27.0,2654.0,1557.0,0.3827493761019174,0.385678926901624,0.40833427235581693,0.4299483046119066,0.4299483046119066,0.4559832243301486,0.4650876829711649,0.484483699220285,0.484483699220285,0.484483699220285
5,Ringer Playground,42.35045632200007,-71.13812892049995,10.0,1195.0,1347.0,1003.0,2219.0,2591.0,540.0,2159.0,2872.0,410.0,873.0,0.09054435193181064,0.1282499057360166,0.15192165750494988,0.15861573479386357,0.16101925791442623,0.16776418544752075,0.184796173796956,0.20461022861121272,0.21302006366094633,0.2136735302706111
6,McKinney Playground,42.35463145150004,-71.15292741949997,10.0,1218.0,1291.0,384.0,843.0,2815.0,2995.0,316.0,1652.0,2437.0,2483.0,0.11534139256295065,0.17820058660624286,0.1886325644542471,0.25969754745730195,0.31207002148355073,0.33485263611488675,0.33485263611488675,0.34953621922693723,0.3516926015408784,0.3897749908688045
7,Hobart Park,42.35572421900005,-71.16132052399996,2.0,2339.0,1287.0,1652.0,3050.0,3066.0,1122.0,2254.0,2437.0,1722.0,2804.0,0.06130963214013572,0.4189104716136184,0.5813287303892968,0.6323780835186915,0.6330673841999354,0.6374099287898093,0.6468552012302403,0.6746712186832614,0.6794305657043962,0.6806809564408149
8,Market Street Burying Ground,42.35045317300006,-71.15234523399997,10.0,663.0,483.0,1660.0,300.0,2043.0,736.0,382.0,1335.0,969.0,835.0,0.04447311743807724,0.11833011591104449,0.1203331977685421,0.12037330466005504,0.15393721538757973,0.15583447942030065,0.15603035643249444,0.1568266996485087,0.16208223705176633,0.16208223705176633
9,Jackson Square,42.34597978600004,-71.15274223099996,10.0,2275.0,835.0,969.0,736.0,2043.0,382.0,2779.0,375.0,1529.0,446.0,0.23363360514765763,0.3031117312296873,0.3031117312296873,0.3087954996908525,0.3099413198859608,0.3100596886195756,0.3104547852957496,0.3123513484239178,0.3212945520646583,0.32249123845858335
10,Reilly Playground,42.33700505250005,-71.15269437699996,10.0,1012.0,2708.0,2433.0,97.0,963.0,442.0,2972.0,578.0,1777.0,38.0,0.033467645636670346,0.03763137976502768,0.09074719850458035,0.11096173829232643,0.11976246708458964,0.12164526773379347,0.12525304591093123,0.1413321615341382,0.1413321615341382,0.16367380587787805
11,Boyden Park,42.33954287650005,-71.16637026649997,10.0,680.0,2506.0,941.0,2022.0,86.0,2307.0,85.0,2305.0,2304.0,2309.0,0.04786269462693549,0.05047615193378526,0.050658235307160376,0.050658235307160376,0.4599354562945578,0.4599354562945578,0.4599354562945578,0.4599354562945578,0.4599354562945578,0.4599354562945578
12,Evergreen Cemetery,42.33839303100004,-71.16238493699996,10.0,941.0,2022.0,2506.0,680.0,84.0,918.0,85.0,2304.0,2305.0,2306.0,0.15831729789190196,0.15831729789190196,0.16463013685865213,0.1676003547767085,0.36454338074032827,0.36454338074032827,0.36454338074032827,0.36454338074032827,0.36454338074032827,0.36454338074032827
13,Hardiman Playground,42.35136046800005,-71.16619070499996,10.0,1122.0,3066.0,734.0,837.0,3050.0,965.0,1158.0,2012.0,2011.0,2672.0,0.050173724829268455,0.07614362517089171,0.07795994814093216,0.07896558253716282,0.08160709167485362,0.10890491297243723,0.12925565687143029,0.12925565687143029,0.12925565687143029,0.13842488673493783
