SPACEID,Name,Avg. Lat,Avg. Long,num_objs,obj1_id,obj2_id,obj3_id,obj4_id,obj5_id,obj6_id,obj7_id,obj8_id,obj9_id,obj10_id,obj1_dist,obj2_dist,obj3_dist,obj4_dist,obj5_dist,obj6_dist,obj7_dist,obj8_dist,obj9_dist,obj10_dist
1,Wilson Park,42.340991124000055,-71.14592892599995,0.0,37713.0,37711.0,37712.0,37720.0,37714.0,37730.0,37721.0,37695.0,37710.0,37729.0,0.03536293804352385,0.0487528743210978,0.05147922673258315,0.058058582361563034,0.0629837401139091,0.0676313722807648,0.07267235975197817,0.07835122505581268,0.08109442520524511,0.08112983922429673
2,James H. Roberts Playground,42.35952553200005,-71.12533246149997,10.0,73716.0,73719.0,73720.0,73721.0,73722.0,73715.0,73714.0,73713.0,73712.0,73711.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Smith Playground,42.36507196100004,-71.13104615899996,10.0,8471.0,7217.0,8488.0,7172.0,7174.0,7175.0,7176.0,7177.0,8467.0,7062.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Fern Square,42.35953406100006,-71.13329072949998,0.0,6521.0,6520.0,6522.0,6523.0,6525.0,6519.0,6526.0,6518.0,6524.0,6527.0,0.0013390067398780206,0.016204808143236143,0.0472183256510707,0.05364084599899205,0.08403646594733499,0.08764927165806398,0.1306297976616326,0.13542698066778525,0.14742881158019397,0.1726257610510389
5,Ringer Playground,42.35045632200007,-71.13812892049995,10.0,25150.0,25437.0,73583.0,73582.0,73581.0,73580.0,73579.0,25484.0,25408.0,25444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,McKinney Playground,42.35463145150004,-71.15292741949997,7.0,25799.0,25796.0,25797.0,25798.0,25800.0,25802.0,25801.0,25795.0,25786.0,25785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004611554348406225,0.1277239994338836,0.12797705030715323
7,Hobart Park,42.35572421900005,-71.16132052399996,7.0,6109.0,6122.0,6121.0,6119.0,6118.0,6117.0,6116.0,6120.0,6115.0,6125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018855753049846604,0.0003854269464130367,0.0838628450703005
8,Market Street Burying Ground,42.35045317300006,-71.15234523399997,1.0,25826.0,25827.0,25825.0,25833.0,73591.0,25832.0,25823.0,25842.0,25837.0,25828.0,0.0,0.009461079752101082,0.012876968824555777,0.014048819013884948,0.017269255181897595,0.017570113269759713,0.028804851640384602,0.03136509954587762,0.0321584937267764,0.037621310564260185
9,Jackson Square,42.34597978600004,-71.15274223099996,0.0,26098.0,26096.0,26095.0,26097.0,26082.0,26058.0,26061.0,26059.0,26060.0,26081.0,0.000996067497788493,0.0015298685982823943,0.0015511901234268942,0.0016986563022154373,0.012420355119833058,0.014991703986122654,0.01588180616749035,0.016118040404385896,0.0190502506187483,0.022769034745005096
10,Reilly Playground,42.33700505250005,-71.15269437699996,0.0,37373.0,37334.0,37335.0,37336.0,37331.0,37372.0,37333.0,37332.0,37401.0,73680.0,0.00024090837660678836,0.0006677983780954021,0.0010986615790434516,0.0011205713564451502,0.001385903426143551,0.0014470307315095315,0.0015879236859793397,0.0022078061722405626,0.002413888032771686,0.0026745289891726407
11,Boyden Park,42.33954287650005,-71.16637026649997,6.0,37596.0,37674.0,37598.0,37597.0,37595.0,37594.0,37587.0,37599.0,37636.0,37591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014938696760190133,0.015632185243363347,0.021011283472428973,0.02252868390671888
12,Evergreen Cemetery,42.33839303100004,-71.16238493699996,0.0,37504.0,37616.0,37615.0,37512.0,37503.0,37513.0,37511.0,37617.0,37508.0,37510.0,0.00032604570558131284,0.0003806945848991083,0.0003902259677949002,0.0005130972187738686,0.0005137764217191621,0.000546765174885458,0.0005535386639517815,0.0005546492918822648,0.0006158516894741148,0.0006160093204559939
13,Hardiman Playground,42.35136046800005,-71.16619070499996,3.0,6152.0,6153.0,6155.0,6154.0,6200.0,6275.0,6199.0,6156.0,6198.0,6162.0,0.0,0.0,0.0,0.004002557130621858,0.005356873862855406,0.01858379932250867,0.025010069966891858,0.02512604832572911,0.047742914841799905,0.0529716261503569
14,Rogers Park,42.34762765100004,-71.15944217249998,10.0,25957.0,25954.0,25953.0,25958.0,25999.0,25998.0,25997.0,25996.0,25995.0,25955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Chandler Pond,42.34503420700005,-71.16574343999994,0.0,49481.0,49671.0,49603.0,6280.0,26010.0,26435.0,49604.0,49602.0,26009.0,26016.0,0.002287385700557445,0.02470247953291171,0.02559119024511597,0.02751018980519277,0.03435836164905863,0.0346660952106876,0.03976385843791583,0.04103335822154436,0.04344380949955985,0.044880340942747426
16,Mullen Square,42.319336472500055,-71.05802175199995,0.0,41215.0,41454.0,41216.0,41218.0,41219.0,41209.0,41120.0,41217.0,41210.0,41471.0,0.0030966211443136955,0.008101628582737606,0.010048929590855609,0.013556687773839794,0.0161292004885585,0.02089624942474855,0.029220369094513903,0.04226253417288871,0.05521709481823663,0.062138892161523615
17,Dorchester North Burying Ground,42.317206903000056,-71.06373744749996,0.0,41364.0,40315.0,41367.0,41363.0,41431.0,41365.0,41366.0,41436.0,40313.0,40317.0,0.002166476099976113,0.0022031569035636045,0.0022055533136209225,0.0026133911806361177,0.002658777961193175,0.0028466763855459648,0.0030701381397787242,0.014106002358453811,0.015230809992637028,0.015424124732662246
18,Downer Avenue Playground,42.31154402100006,-71.06173662799995,4.0,40186.0,40187.0,40185.0,40183.0,40188.0,72673.0,72669.0,72670.0,40189.0,72674.0,0.0,0.0,0.0,0.0,0.02022954039515786,0.030257567850432394,0.0359589478474037,0.03912777969501082,0.04148122029997613,0.049685744570880895
19,Quincy/Stanley Play Area,42.31108400200006,-71.06878294449996,4.0,39748.0,39773.0,67622.0,67619.0,39749.0,67621.0,67618.0,39750.0,67620.0,63551.0,0.0,0.0,0.0,0.0,0.0021387631518662146,0.002337026676022731,0.007947132723614851,0.009204497056789563,0.011654783969048517,0.018176323164809216
20,Deer Street Park,42.310999277000064,-71.05873330549994,0.0,67634.0,62842.0,67633.0,39923.0,40184.0,39922.0,62829.0,39915.0,62857.0,62856.0,0.0013199724495720343,0.009042222245894878,0.009330982498423707,0.014475301752447208,0.03018931037558747,0.034701995974166046,0.03592827622006019,0.045004752857328335,0.05436132619761765,0.054734640072415394
21,Savin Hill Beach,42.30725802400005,-71.05146770649995,10.0,62719.0,62711.0,62710.0,62707.0,62706.0,62727.0,62703.0,62702.0,62699.0,62698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Coppens Square,42.30841677250007,-71.06437005599997,1.0,62915.0,62912.0,62917.0,62914.0,72823.0,72822.0,72821.0,63027.0,63025.0,62916.0,0.0,0.0019520863874513998,0.0019719779026506705,0.0029446763867507528,0.003367768599180818,0.003674250173427807,0.010122579904734199,0.010486824789786608,0.011522340726211505,0.014670848913278056
23,Old Harbor Park,42.319906344500026,-71.04038230249995,10.0,39231.0,38831.0,38829.0,38828.0,38826.0,38825.0,38824.0,39228.0,38815.0,39190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,McConnell Park,42.30891298350005,-71.05142915899995,10.0,62729.0,62723.0,62716.0,62717.0,62705.0,62737.0,62708.0,62728.0,62709.0,62722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Boston Common,42.355043019500044,-71.06566726199995,10.0,1153.0,1384.0,3738.0,3739.0,3740.0,3741.0,1334.0,1382.0,1381.0,1380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Central Burying Ground,42.35288991900004,-71.06609636049996,0.0,69489.0,1331.0,1332.0,1333.0,1363.0,1362.0,1380.0,1327.0,1364.0,1382.0,0.0019273373866989796,0.0037164522514422037,0.0037335817270321204,0.0037482525377629363,0.003846096586653818,0.003869155323020333,0.003983376400862702,0.004882174145928052,0.007722950288768722,0.008756178784241555
27,Public Garden,42.35406365850005,-71.06998497349994,10.0,841.0,825.0,15433.0,15432.0,806.0,15382.0,842.0,805.0,1349.0,824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Granary Burying Ground,42.35734815300006,-71.06175088449996,0.0,19914.0,20073.0,19988.0,19944.0,19985.0,20106.0,20105.0,70587.0,19987.0,70588.0,0.0007456941397982901,0.0007818559087475454,0.015459264034010519,0.01560101165224467,0.01614623264111083,0.01647438966300732,0.016803425661971086,0.01693109278674029,0.019504948559902723,0.020905507328872582
29,Phillips Street Play Area,42.36053411550003,-71.06731313549997,5.0,16437.0,16436.0,16435.0,16434.0,16433.0,16361.0,16344.0,16369.0,16502.0,16500.0,0.0,0.0,0.0,0.0,0.0,0.005130136879952498,0.009653419618817027,0.01166332750924705,0.013644538847988004,0.015518154323418536
30,Myrtle Street Playground,42.35919916450004,-71.06609477899994,9.0,16474.0,16494.0,16541.0,20186.0,20187.0,16472.0,16473.0,16471.0,16374.0,16475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004286787348378855
31,Copley Square Park,42.35001045200005,-71.07619749699998,10.0,265.0,261.0,262.0,450.0,263.0,264.0,260.0,266.0,294.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Clarendon Street Playlot,42.35279916350007,-71.07658285199997,1.0,472.0,512.0,359.0,358.0,357.0,356.0,343.0,362.0,70096.0,70100.0,0.0,0.002737533336280164,0.0027385473773375944,0.004928508889698195,0.0049968425455688805,0.005890785466702363,0.008240913120603995,0.014544059567512908,0.01675568100958978,0.01742190831357029
33,DeFilippo Playground,42.36653117450007,-71.05697828849998,7.0,17913.0,17708.0,17660.0,17659.0,17658.0,17916.0,17631.0,17622.0,17612.0,69566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013805689798710896,0.0014722504188099724,0.0015227117647579886
34,Copp's Hill Burying Ground,42.36735748150005,-71.05578552599997,0.0,17835.0,70339.0,17817.0,70338.0,17831.0,17903.0,17832.0,17902.0,17834.0,17597.0,2.0915083359548236e-05,0.00016767217959119663,0.0003671137873142767,0.0005964618784489396,0.0007404151886777504,0.0008457347238249414,0.0008817289004603207,0.0011854421736058269,0.001220705763745579,0.0014341341555805583
35,Copp's Hill Terrace,42.36780996600004,-71.05531743649996,10.0,17806.0,17792.0,17804.0,17863.0,17864.0,17865.0,17866.0,70017.0,70016.0,17861.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Foster Street Play Area,42.36743203650005,-71.05406256899997,0.0,17943.0,17859.0,17906.0,17944.0,17856.0,17942.0,17857.0,70353.0,17768.0,70355.0,0.004504902391031106,0.007171838125273515,0.01035134344422293,0.011360322514464378,0.014856982277614686,0.018681355717332395,0.02238544870479068,0.02524607870369295,0.02630167844902343,0.029516021675478763
37,Charter Street Park,42.36680027950007,-71.05329171699995,7.0,17898.0,17900.0,17885.0,17767.0,69710.0,69712.0,69711.0,17800.0,70359.0,70370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001805270393617596,0.0034788691925863474,0.008996563227611604
38,Paul Revere Mall,42.36580588250007,-71.05369996599998,10.0,17876.0,17846.0,17845.0,69589.0,17875.0,17890.0,17891.0,17908.0,17909.0,17910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Polcari Park,42.36503583250004,-71.05445404199995,2.0,17666.0,17627.0,17669.0,70458.0,17628.0,17667.0,17668.0,17606.0,17605.0,17670.0,0.0,0.0,0.00035592985456614674,0.0006536519468368763,0.0019770797434742705,0.002702392309051081,0.00430137205778093,0.011273840702944711,0.012433550863904855,0.01887655829507396
40,Cutillo Park,42.36355771050006,-71.05638394049998,6.0,70594.0,70595.0,70596.0,70597.0,70598.0,17459.0,17480.0,17414.0,17413.0,17589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017378873874789288,0.00032088011278092436,0.0010828854816965518,0.003527709344261519
41,City Hall Plaza,42.36050201350005,-71.05893443449995,10.0,19850.0,16988.0,16989.0,17006.0,17007.0,17008.0,17009.0,17010.0,17011.0,17012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Norman Leventhal Park,42.35627479650003,-71.05557483799996,10.0,19873.0,19816.0,19790.0,19872.0,19787.0,19870.0,19899.0,19786.0,19810.0,19811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Angell Memorial Square,42.35709628150005,-71.05608246699995,5.0,19823.0,19868.0,19824.0,19825.0,19826.0,19828.0,19827.0,19857.0,19856.0,19859.0,0.0,0.0,0.0,0.0,0.0,0.00012873643392106315,0.0001529333933766467,0.011406687879606471,0.011738822199366589,0.012013171516595039
44,Union Street Park I,42.36101105050005,-71.05719540499999,6.0,19581.0,19552.0,19551.0,19550.0,19572.0,19544.0,19580.0,19562.0,19561.0,19563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007051615771836684,0.0010070783874222289,0.001155539038813706,0.0024572950048516143
